INI50030700	INI50030700_baseline	INI50030700_KIDNEY
4.55159342948217	0.0100474	-0.0138096
3.8457737982698	-0.0344318	-0.0579824
4.48301034212	0.0140502	-0.0259079
4.70921981275052	-0.0467498	-0.0848843
4.1734119966228	-0.0845711	-0.0973942
4.45527059214663	-0.113962	-0.152844
4.67780247237895	-0.0123488	-0.0449504
3.95510088339609	-0.0492794	-0.0824666
4.23614414635874	-0.138505	-0.180876
4.7500670081918	-0.144264	-0.182557
4.84913880867081	-0.0857643	-0.142756
4.32288525650715	-0.0664652	-0.124134
4.404923547879	-0.00737978	-0.0522967
4.79614521869558	-0.0331214	-0.0696607
4.63024564346433	-0.0701389	-0.0897641
4.23833296426798	-0.130027	-0.145337
4.30043016734473	-0.0138146	-0.0508649
4.52572535277173	-0.114357	-0.134584
4.73814585700708	-0.0441572	-0.0711568
4.35886308184973	-0.0758244	-0.132804
4.69615933315493	-0.0168118	-0.0605597
4.57907458995511	-0.0186981	-0.0535188
4.63739325735512	-0.110376	-0.153745
4.69431560894291	-0.103926	-0.137268
4.45385450523144	-0.051244	-0.117163
4.28684578790646	-0.0219968	-0.0297783
4.24823244128931	-0.07093	-0.135507
4.49691962580473	-0.070348	-0.108619
4.72629582737878	-0.0951388	-0.137519
4.28811129318544	-0.00759122	-0.00616195
4.24498852525445	-0.00400485	-0.074873
4.68539668234361	-0.043773	-0.0842175
4.63299455568074	-0.0885897	-0.101372
4.81547383709209	-0.00959567	-0.0747006
4.57270162159283	-0.069956	-0.0994722
4.77324694481712	-0.0150093	-0.0632385
4.28587923552545	-0.0618084	-0.134735
4.46063031021705	-0.102982	-0.122712
4.57689270127581	-0.0205799	-0.0764844
4.76137198211506	-0.0234269	-0.0651743
4.36884911525491	-0.111978	-0.171151
4.69211239347843	-0.0250667	-0.0559218
4.33993204837496	0.00852861	-0.0179633
4.44930208783022	-0.0453323	-0.0768091
4.61859164465637	-0.0971652	-0.0876975
4.53878296867408	-0.00409583	-0.0458061
4.316229308459	-0.0733275	-0.0992773
4.64080650646938	-0.119785	-0.170954
4.47384664269002	-0.0217029	-0.0977344
4.49413214086717	-0.0477923	-0.120313
4.47379641221783	-0.0611875	-0.0985061
4.45415734167386	-0.0101065	-0.0597184
4.72398462618202	-0.0416749	-0.0760829
4.48123045508977	0.0133364	-0.0473452
4.37913786936	-0.037668	-0.0837663
4.44045959705109	-0.0720197	-0.105311
4.72316305994312	-0.0606734	-0.0970442
4.29029842094036	-0.0983887	-0.137879
4.35025916312337	-0.149854	-0.191025
4.41695720500748	-0.024483	-0.0583142
4.51265612777793	-0.0400404	-0.0710988
4.3855237896701	-0.0491235	-0.0952976
4.64200852057751	-0.0296559	-0.0341465
4.58946395357996	-0.0219054	-0.0777738
4.4747394723077	-0.0444536	-0.0616341
4.24181313141419	-0.0260804	-0.0603935
4.60101376927764	-0.0736039	-0.124483
4.61844582884904	-0.00610773	-0.0510234
4.45009080901079	0.00769376	-0.0351172
4.56929169988908	-0.0117802	-0.035204
4.62801632885948	-0.0542446	-0.0809063
4.66261576832022	-0.0906775	-0.107363
4.36685589630741	-0.0717401	-0.0793652
4.53180182728968	-0.0458385	-0.0984311
4.7421412178381	-0.0308151	-0.0490764
4.48308910662328	-0.0935474	-0.122705
